gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,TenureGroup,NumServicesSubscribed,AvgChargePerService,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,1,0,1.5729808767233588,1,2,1,-1.3464441800535252,-0.2412318948986376,3,-0.9280832414338016,-1.015162954578812,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,-1.1766624269073511,1,0,0,-0.09169962843366872,-0.9027689430012706,0,0.369182623097476,-0.9594335982788835,0,0,0,0,1,0,1,0,0,0,0,1,1
1,0,1,0,0.3513699651224484,1,2,1,-1.4960059100684764,-0.608957857563448,2,-1.360505196277561,0.5270964840641122,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,-0.3815965818380978,1,1,1,1.1695164781979852,0.0057423029415073,1,0.8016045779412352,-0.0982349385987562,0,1,0,1,0,1,0,1,1,1,0,0,0
1,0,0,1,-1.251352630519708,1,0,0,1.0787491469412678,-0.9395381060111448,0,0.6630653759303573,0.008100903938459386,1,1,0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,-0.5851984004382496,1,0,1,0.3535741511164189,-0.3967709328560208,1,-0.4956612865900424,1.6159485030404288,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,1,1,-1.1552834925186746,1,0,1,0.6659919871476498,-0.84170390627829,0,0.369182623097476,-0.0372187728294953,1,1,0,0,1,1,0,0,0,0,0,0,1
1,0,1,0,-1.033797243681922,1,0,1,0.15241868325219363,-0.8072284521868229,0,-0.9280832414338016,2.7550292993627115,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,-1.1552834925186746,0,0,1,-1.3165318340505352,-0.9616836009953807,0,-1.360505196277561,1.6193195619227074,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,1.247217966963116,1,2,0,-1.502653098069141,-0.4562423902851948,3,-1.360505196277561,0.4866437774767569,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0.880734693482843,1,2,0,-1.4860351280674795,-0.5194197842307267,3,-1.360505196277561,0.5877755439451454,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0.7178532386027215,1,0,1,0.1657910900976468,0.5638166358423494,3,-0.9280832414338016,2.7550292993627115,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,-0.7073594915983407,1,0,1,1.2077378092018058,-0.3422186649693936,1,0.8016045779412352,-0.0594677614525413,1,1,0,0,0,1,0,1,1,0,1,0,1
1,0,0,0,0.0663274190822359,1,1,0,1.7112623002521414,0.7144144251112554,2,2.098870442472513,-0.8550376576705304,1,1,0,1,1,1,1,1,1,1,0,0,0
0,1,0,0,-1.1683839259064257,1,0,1,0.6738296240746972,-0.8654749936968726,0,-0.0632393317462832,0.8323029584022487,0,1,0,0,1,0,0,0,1,0,1,0,1
1,0,1,1,-0.1779947632379461,1,1,0,0.9119379431722362,0.1272440787278166,2,0.369182623097476,0.2621312559169346,1,1,0,0,0,0,0,1,1,0,0,0,0
